name,lat,lon,region,hub,catchment,crop,qty
Chitwa West,-14.4909,24.86635,Western,Mulambwa,Mulambwa North,Groundnut,12620
Chitwa West,-14.4909,24.86635,Western,Mulambwa,Mulambwa North,Soy Bean,1520
Chiyende Yende,-12.295627,33.040732,Chipangali,Nkhanga,Nkhanga,Groundnut,4801
Chizingizi,-12.155282,32.994042,Chipangali,Nkhanga,Nkhanga,Groundnut,1932
Chungu Shed,-13.696365,32.24466,Kasenengwa,Kasenengwa,Ng'ongwe,Cowpea,48
Chungu Shed,-13.696365,32.24466,Kasenengwa,Kasenengwa,Ng'ongwe,Soy Bean,31202
Chungu Shed,-13.696365,32.24466,Kasenengwa,Kasenengwa,Ng'ongwe,Sunflower,73
Chungu Shed,-13.696365,32.24466,Kasenengwa,Kasenengwa,Ng'ongwe,Sunnhemp,0
Clever Byendo Home,-14.609342,28.8263608,Kapiri,Likumbi,Likumbi,Groundnut,5414
Clever Byendo Home,-14.609342,28.8263608,Kapiri,Likumbi,Likumbi,Soy Bean,73847
DACO Shed,-9.95901,30.4292,Northern,Lunte,Lunte D,Navy Bean,16411
DACO Shed,-9.95901,30.4292,Northern,Lunte,Lunte D,Sugar bean,28820
Doris Mulenga - Lunte,-10.2125961,30.230826,Northern,Lunte,Lunte B,Navy Bean,7066
Doris Mulenga - Lunte,-10.2125961,30.230826,Northern,Lunte,Lunte B,Sugar bean,14680
Dowoko,-12.206067,33.064651,Chipangali,Nkhanga,Nkhanga,Groundnut,7940
Elijah,-12.165902,32.92437,Chipangali,Nkhanga,Nkhanga,Groundnut,1912
Eunice,-14.113242,31.900869,Katete,Chanjoka-Kameta,Katete B,Soy Bean,11371
Evaness Kapemba Home,-14.3632963,28.8839635,Kapiri,Likumbi,Likumbi,Groundnut,2625
Evaness Kapemba Home,-14.3632963,28.8839635,Kapiri,Likumbi,Likumbi,Soy Bean,21316
Fackson Tindiza Home,-14.37634,28.90492,Kapiri,Likumbi,Likumbi,Groundnut,2372
Fackson Tindiza Home,-14.37634,28.90492,Kapiri,Likumbi,Likumbi,Soy Bean,39960
Feni,-13.7360494,32.3084485,Kasenengwa,Kasenengwa,Kasenengwa,Cowpea,124
Feni,-13.7360494,32.3084485,Kasenengwa,Kasenengwa,Kasenengwa,Soy Bean,15823
Feni,-13.7360494,32.3084485,Kasenengwa,Kasenengwa,Kasenengwa,Sunflower,0
Fikunyu Community,-10.417535,30.1820917,Northern,Luwingu,Luwingu A,Navy Bean,8708
Fikunyu Community,-10.417535,30.1820917,Northern,Luwingu,Luwingu A,Sugar bean,17273
Francis Musonda - Lunte,-10.2018656,30.230826,Northern,Lunte,Lunte B,Navy Bean,22745
Francis Musonda - Lunte,-10.2018656,30.230826,Northern,Lunte,Lunte B,Sugar bean,21637
Gift Muyaba - Kasonde,-11.912434,25.62424,North-Western,Mukumbi,Mukumbi,Sugar bean,12292
Gift Mweeta Home,-14.4616649,28.8825986,Kapiri,Likumbi,Likumbi,Groundnut,916
Gift Mweeta Home,-14.4616649,28.8825986,Kapiri,Likumbi,Likumbi,Soy Bean,84720
Gulani 1,,,Test Region,// Test District,// Test Camp 1,Soy Bean,250
Guma,-14.209733,31.973616,Katete,Chanjoka-Kameta,Katete A,Soy Bean,4554
Gundu,-12.155282,32.994042,Chipangali,Nkhanga,Nkhanga,Groundnut,1779
Gundu,-12.155282,32.994042,Chipangali,Nkhanga,Nkhanga,Soy Bean,275
Ignatius Mwenya - Kasonde,-10.1008982,29.9079921,Northern,Kawambwa,Kawambwa,Navy Bean,24195
Ignatius Mwenya - Kasonde,-10.1008982,29.9079921,Northern,Kawambwa,Kawambwa,Sugar bean,4638
Jackson Mulenga - Musundu,-10.0140762,29.8947691,Northern,Kawambwa,Kawambwa,Navy Bean,7981
Jackson Mulenga - Musundu,-10.0140762,29.8947691,Northern,Kawambwa,Kawambwa,Sugar bean,715
Jekapu,-8.996958,31.057197,Northern,Vyamba,Vyamba,Navy Bean,570
Jekapu,-8.996958,31.057197,Northern,Vyamba,Vyamba,Sugar bean,11986
John Chongo - Nkandabana,-9.95539,29.96274,Northern,Lunte,Lunte B,Navy Bean,950
John Chongo - Nkandabana,-9.95539,29.96274,Northern,Lunte,Lunte C,Navy Bean,6227
John Chongo - Nkandabana,-9.95539,29.96274,Northern,Lunte,Lunte C,Sugar bean,1910
Kabalachi Shed,-14.25738,24.3644,Western,Kalumwange,Kalumwange North,Groundnut,795
Kabalachi Shed,-14.25738,24.3644,Western,Kalumwange,Kalumwange North,Soy Bean,59721
Kabanga - B,,,North-Western,Mukumbi,Mukumbi,Sugar bean,5945
Kabishi,-11.9191682,25.4695144,North-Western,Musele & Kisasa,Musele & Kisasa,Sugar bean,1589
Kabwela,-10.20336,30.05551,Northern,Lunte,Lunte C,Navy Bean,15825
Kabwela,-10.20336,30.05551,Northern,Lunte,Lunte C,Sugar bean,2028
Kachete-chete,-13.940478,32.536891,Chadiza,Chadiza West,Chadiza West A,Soy Bean,9284
Kachibwe,-10.5953571,30.0913008,Northern,Luwingu,Luwingu B,Navy Bean,200
Kachibwe,-10.5953571,30.0913008,Northern,Luwingu,Luwingu B,Sugar bean,11765
Kachila,-13.6187933,32.1336317,Kasenengwa,Kasenengwa,Kampheta,Soy Bean,21463
Kachila,-13.6187933,32.1336317,Kasenengwa,Kasenengwa,Kampheta,Sunnhemp,11
Kachiwezhi,-12.31814,25.84645,North-Western,Musele & Kisasa,Musele & Kisasa,Sugar bean,2979
Kaembe,-10.0740724,30.046556,Northern,Lunte,Lunte C,Navy Bean,13150
Kaembe,-10.0740724,30.046556,Northern,Lunte,Lunte C,Sugar bean,23090
Kafunkha SNV,-14.079377,31.941639,Katete,Chanjoka-Kameta,Katete B,Soy Bean,594
Kagoro,-14.237725,32.071498,Katete,Chanjoka-Kameta,Katete C,Soy Bean,32954
Kagoro 4,-14.237869,32.124016,Katete,Chanjoka-Kameta,Katete C,Soy Bean,8044
Kajeje,-14.20154,24.96588,Western,Kalumwange,Kalumwange South,Groundnut,1305
Kajeje,-14.20154,24.96588,Western,Kalumwange,Kalumwange South,Soy Bean,14189
Kakumba SNV BBP,-12.389009,33.18132,Chipangali,Chasefu,MSUZI,Groundnut,648
Kalemba,-14.085299,32.6445007,Chadiza,Chadiza East,Chadiza East A,Soy Bean,23955
Kalumwange,-14.23983,24.96545,Western,Kalumwange,Kalumwange North,Groundnut,333
Kalumwange,-14.23983,24.96545,Western,Kalumwange,Kalumwange North,Soy Bean,22593
kalumwangwe B,-14.8301097,24.8087126,Western,Kalumwange,Kalumwange North,Groundnut,38
kalumwangwe B,-14.8301097,24.8087126,Western,Kalumwange,Kalumwange North,Soy Bean,3468
Kalundu,-10.2903251,29.387211,Northern,Chipili,Chipili,Navy Bean,6594
Kalundu,-10.2903251,29.387211,Northern,Chipili,Chipili,Sugar bean,6944
Kalyati,-9.28446,31.22429,Northern,Senga Hill,Senga,Navy Bean,4768
Kalyati,-9.28446,31.22429,Northern,Senga Hill,Senga,Sugar bean,10730
Kambale SNV BBP,-12.39488,33.284943,Chipangali,Chasefu,Chasefu,Groundnut,4023
Kambeteka,-11.8571,33.095697,Chipangali,Chasefu,Chasefu,Groundnut,3756
Kambeteka,-11.8571,33.095697,Chipangali,Chasefu,Chasefu,Soy Bean,2750
Kambwata,-13.53264,32.307625,Kasenengwa,Kasenengwa,Mzapawi,Soy Bean,13248
Kamchacha,-14.059294,32.328752,Chadiza,Chadiza West,Chadiza West A,Soy Bean,10607
Kamchacha,-14.059294,32.328752,Chadiza,Chadiza West,Chadiza West A,Sunnhemp,24
Kameta,-14.3491,32.06574,Katete,Chanjoka-Kameta,Katete C,Soy Bean,12431
Kamikolo,-11.934048,25.66842,North-Western,Mukumbi,Mukumbi,Sugar bean,36877
Kamoba,-13.299114,32.6941206,Chipangali,Chinunda,Mafuta,Groundnut,480
Kamoba,-13.299114,32.6941206,Chipangali,Chinunda,Mafuta,Soy Bean,3582
Kamphambe,-14.0529426,32.1382344,Katete,Chanjoka-Kameta,Katete A,Soy Bean,10273
Kamphambe SNV,-15.5759,31.0483,Katete,Chanjoka-Kameta,Katete C,Soy Bean,3036
Kampheta Village,-13.61495,32.081801,Kasenengwa,Kasenengwa,Kampheta,Soy Bean,2451
Kamwanjiri,-13.372645,32.30445,Chipangali,Mphomwa,Kamwanjiri,Soy Bean,21000
Kanabilumbu,-14.3704667,24.9202783,Western,Kalumwange,Kalumwange South,Groundnut,5307
Kanabilumbu,-14.3704667,24.9202783,Western,Kalumwange,Kalumwange South,Soy Bean,9628
Kangombe Shed,-13.9259985,32.2145096,Kasenengwa,Kasenengwa,Pwata,Cowpea,502
Kangombe Shed,-13.9259985,32.2145096,Kasenengwa,Kasenengwa,Pwata,Soy Bean,52475
Kangombe Shed,-13.9259985,32.2145096,Kasenengwa,Kasenengwa,Pwata,Sunflower,282
Kangombe Shed,-13.9259985,32.2145096,Kasenengwa,Kasenengwa,Pwata,Sunnhemp,336
Kankonzhi,-12.244953,25.23228,North-Western,Musele & Kisasa,Musele & Kisasa,Sugar bean,1230
Kansasa,-10.521884,30.103466,Northern,Luwingu,Luwingu B,Navy Bean,976
Kansasa,-10.521884,30.103466,Northern,Luwingu,Luwingu B,Sugar bean,34999
Kanshimba,-10.69369,29.116566,Northern,Chipili,Chipili,Navy Bean,3910
Kanshimba,-10.69369,29.116566,Northern,Chipili,Chipili,Sugar bean,273
Kansomba,-13.73383,32.1957317,Kasenengwa,Kasenengwa,Ng'ongwe,Soy Bean,21062
Kanyikezhi,-11.99872,25.14801,North-Western,Musele & Kisasa,Musele & Kisasa,Sugar bean,7742
Kanyikezhi B,,,North-Western,Musele & Kisasa,Musele & Kisasa,Sugar bean,5348
Kapachi,-14.0867828,32.6290335,Chadiza,Chadiza East,Chadiza East B,Soy Bean,21853
Kapachi,-14.0867828,32.6290335,Chadiza,Chadiza East,Chadiza East B,Sunflower,30
Kapachi,-14.0867828,32.6290335,Chadiza,Chadiza East,Chadiza East B,Sunnhemp,6
Kapenya,-13.490315,32.348467,Chipangali,Mphomwa,Mkowe,Groundnut,391
Kapenya,-13.490315,32.348467,Chipangali,Mphomwa,Mkowe,Soy Bean,21125
Kapilu,-12.0225807,33.1771167,Chipangali,Chasefu,Chasefu,Groundnut,4039
Kapilu,-12.0225807,33.1771167,Chipangali,Chasefu,Chasefu,Soy Bean,25
Kapoli 1,-9.3117489,31.2767635,Northern,Senga Hill,Senga,Navy Bean,4072
Kapoli 1,-9.3117489,31.2767635,Northern,Senga Hill,Senga,Sugar bean,10262
Kapoli 2,-9.3781214,31.2970567,Northern,Senga Hill,Senga,Navy Bean,4918
Kapoli 2,-9.3781214,31.2970567,Northern,Senga Hill,Senga,Sugar bean,6206
Kasambeni,-13.6040517,32.0253717,Kasenengwa,Kasenengwa,Kampheta,Soy Bean,23438
Kasambeni,-13.6040517,32.0253717,Kasenengwa,Kasenengwa,Kampheta,Sunnhemp,15
Kasenengwa Shed,-13.718052,32.322974,Kasenengwa,Kasenengwa,Kasenengwa,Groundnut,91
Kasenengwa Shed,-13.718052,32.322974,Kasenengwa,Kasenengwa,Kasenengwa,Soy Bean,25980
Kasenengwa Shed,-13.718052,32.322974,Kasenengwa,Kasenengwa,Kasenengwa,Sunflower,30
Kasenengwa Shed,-13.718052,32.322974,Kasenengwa,Kasenengwa,Kasenengwa,Sunnhemp,18
Kashambila,-12.26381,25.14149,North-Western,Musele & Kisasa,Musele & Kisasa,Sugar bean,2622
Katawa SNV,-14.202283,32.043068,Katete,Chanjoka-Kameta,Katete C,Soy Bean,957
Katongo,-10.09616,30.06171,Northern,Lunte,Lunte C,Navy Bean,6740
Katongo,-10.09616,30.06171,Northern,Lunte,Lunte C,Sugar bean,6960
Katongozola,-14.06308,32.18302,Chadiza,Chadiza West,Chadiza West B,Soy Bean,24517
Katongozola,-14.06308,32.18302,Chadiza,Chadiza West,Chadiza West B,Sunflower,60
Katopola SNV BBP,-12.49244,33.169832,Chipangali,Chasefu,MKOMBA,Groundnut,0
Katulo,-9.0165814,31.0150068,Northern,Vyamba,Vyamba,Navy Bean,539
Katulo,-9.0165814,31.0150068,Northern,Vyamba,Vyamba,Sugar bean,8653
Kaulasisi,-12.191596,32.949467,Chipangali,Nkhanga,Nkhanga,Groundnut,4481
Kaungo Shed,-13.6162617,32.07876,Kasenengwa,Kasenengwa,Kampheta,Soy Bean,18132
Kaungo Shed,-13.6162617,32.07876,Kasenengwa,Kasenengwa,Kampheta,Sunnhemp,9
Kavinaka SNV BBP,-12.354281,32.833372,Chipangali,Chasefu,MKOMBA,Groundnut,1724
Kavumbo,-9.1668822,31.5692065,Northern,Senga Hill,Kavumbo,Sugar bean,19196
Kawalala,-14.200383,31.810275,Katete,Chanjoka-Kameta,Katete B,Soy Bean,2450
Kawaza,-14.184929,32.31027,Chadiza,Chadiza West,Chadiza West B,Soy Bean,7195
Kawene,-13.96067,32.432316,Chadiza,Chadiza West,Chadiza West A,Soy Bean,21885
Kawene,-13.96067,32.432316,Chadiza,Chadiza West,Chadiza West A,Sunflower,60
Kawene,-13.96067,32.432316,Chadiza,Chadiza West,Chadiza West A,Sunnhemp,40
Kawowola SNV BBP,-12.401363,33.008997,Chipangali,Chasefu,KAMBALE,Groundnut,2069
Kayala Phiri - Champhala,-14.26586,31.94742,Katete,Chanjoka-Kameta,Katete B,Soy Bean,22713
Kennedy Mukuka - Nkandabana,-9.95539,29.574615,Northern,Lunte,Lunte C,Navy Bean,4390
Kennedy Mukuka - Nkandabana,-9.95539,29.574615,Northern,Lunte,Lunte C,Sugar bean,250
Kisasa,-12.10945,25.49242,North-Western,Musele & Kisasa,Musele & Kisasa,Sugar bean,4135
Kunda Shed,-13.832795,32.231905,Kasenengwa,Kasenengwa,Kwenje A,Soy Bean,52694
Kunda Shed,-13.832795,32.231905,Kasenengwa,Kasenengwa,Kwenje A,Sunflower,253
Kwaba,-13.3518326,32.70736,Chipangali,Chinunda,Mafuta,Groundnut,1033
Kwaba,-13.3518326,32.70736,Chipangali,Chinunda,Mafuta,Soy Bean,12130
Kyanika,-11.917132,25.68034,North-Western,Mukumbi,Mukumbi,Sugar bean,13076
Lameck Katebe Home,-14.50932,28.88596,Kapiri,Likumbi,Likumbi,Groundnut,1335
Lameck Katebe Home,-14.50932,28.88596,Kapiri,Likumbi,Likumbi,Soy Bean,32024
Lolo Bwela BBP,-10.29644,30.07419,Northern,Luwingu,Luwingu A,Navy Bean,6519
Lolo Bwela BBP,-10.29644,30.07419,Northern,Luwingu,Luwingu A,Sugar bean,11952
Lubinga,-12.1696233,25.7218867,North-Western,Mukumbi,Mukumbi,Sugar bean,2424
Lubushi,-10.245081,30.478785,Northern,Lunte,Lunte A,Navy Bean,14250
Lubushi,-10.245081,30.478785,Northern,Lunte,Lunte A,Sugar bean,7180
Lukhalo,-13.415439,32.606768,Chipangali,Mnukwa,Mnukwa,Groundnut,232
Lukhalo,-13.415439,32.606768,Chipangali,Mnukwa,Mnukwa,Soy Bean,15761
lunchu,-13.8766171,28.9090093,Kapiri,Mpula 1,Mpula 1,Groundnut,80
lunchu,-13.8766171,28.9090093,Kapiri,Mpula 1,Mpula 1,Soy Bean,35788
Lunyati,-14.2492533,24.8604883,Western,Kalumwange,Kalumwange North,Groundnut,80
Lunyati,-14.2492533,24.8604883,Western,Kalumwange,Kalumwange North,Soy Bean,7598
Lupososhi,-10.352216,29.475846,Northern,Chipili,Chipili,Navy Bean,5535
Lupososhi,-10.352216,29.475846,Northern,Chipili,Chipili,Sugar bean,8754
Lwenge,-10.1866282,29.9256279,Northern,Kawambwa,Kawambwa,Navy Bean,7215
Lwenge,-10.1866282,29.9256279,Northern,Kawambwa,Kawambwa,Sugar bean,12125
Lyanda,-9.5493917,31.4734267,Northern,Senga Hill,Senga,Navy Bean,3030
Lyanda,-9.5493917,31.4734267,Northern,Senga Hill,Senga,Sugar bean,8036
Lyson Tembo - Champhala,-14.2511315,31.9551481,Katete,Chanjoka-Kameta,Katete A,Soy Bean,9801
Mabanga,-11.996952,25.604533,North-Western,Mukumbi,Mukumbi,Sugar bean,17596
Magamba,-14.2543,31.983383,Katete,Chanjoka-Kameta,Katete A,Soy Bean,6233
Magoboza,-13.319758,32.700155,Chipangali,Chinunda,Mafuta,Groundnut,420
Magoboza,-13.319758,32.700155,Chipangali,Chinunda,Mafuta,Soy Bean,7837
Magomero,-13.689975,32.2013871,Kasenengwa,Kasenengwa,Mulima,Groundnut,184
Magomero,-13.689975,32.2013871,Kasenengwa,Kasenengwa,Mulima,Soy Bean,63968
Magomero,-13.689975,32.2013871,Kasenengwa,Kasenengwa,Mulima,Sunflower,124
Magonde,-11.8571,33.095697,Chipangali,Chasefu,Chasefu,Groundnut,2443
Magonde,-11.8571,33.095697,Chipangali,Chasefu,Chasefu,Soy Bean,833
Malijeni,-13.780695,32.186853,Kasenengwa,Kasenengwa,Kwenje B,Soy Bean,34748
Mangala,-12.031295,25.85955,North-Western,Mukumbi,Mukumbi,Sugar bean,7958
Mangani,-10.10611,30.448562,Northern,Lunte,Lunte A,Navy Bean,3900
Mangani,-10.10611,30.448562,Northern,Lunte,Lunte A,Sugar bean,800
Manyenje,-13.296025,32.54205,Chipangali,Chinunda,Chitandika,Groundnut,40
Manyenje,-13.296025,32.54205,Chipangali,Chinunda,Chitandika,Soy Bean,4950
Manzi BBP,-9.2911,31.55759,Northern,Senga Hill,Kavumbo,Sugar bean,4916
Masala,-13.82771,32.198951,Kasenengwa,Kasenengwa,Kwenje A,Soy Bean,22408
Masala,-13.82771,32.198951,Kasenengwa,Kasenengwa,Kwenje A,Sunflower,300
Masamba,-9.13592,31.3795086,Northern,Senga Hill,Senga,Navy Bean,22954
Masuku,-14.1610562,32.549189,Chadiza,Chadiza East,Chadiza East B,Soy Bean,11038
Masuku,-14.1610562,32.549189,Chadiza,Chadiza East,Chadiza East B,Sunflower,150
